iter	RMSE
0	1.053674049
1	1.050008358
2	1.04596336
3	1.041445997
4	1.037220375
5	1.033441657
6	1.029271748
7	1.024008045
8	1.019429868
9	1.014415337
10	1.010615917
11	1.005275765
12	1.001035871
13	0.9967976242
14	0.9925781587
15	0.9897764487
16	0.9856587292
17	0.9814899581
18	0.9776155533
19	0.9738915916
20	0.9706017624
21	0.9672458298
22	0.9628760393
23	0.9583381683
24	0.9551366371
25	0.9506268059
26	0.9473112094
27	0.9444050428
28	0.9410099104
29	0.9369955632
30	0.9330256613
31	0.9290259172
32	0.9264276622
33	0.9229589592
34	0.9193100302
35	0.9156666095
36	0.9122535577
37	0.9088236304
38	0.9059172196
39	0.9020400159
40	0.8981848006
41	0.8955883327
42	0.8923573067
43	0.8887409437
44	0.885570193
45	0.8823455796
46	0.8796492127
47	0.8759238528
48	0.8727722401
49	0.8692803959
50	0.8665556694
51	0.8633234908
52	0.8603154005
53	0.8578061558
54	0.8544809209
55	0.851617188
56	0.8476871716
57	0.84502205
58	0.8430857384
59	0.8398048162
60	0.8369921779
61	0.8343478096
62	0.8319541045
63	0.8289228085
64	0.8260763348
65	0.8227946601
66	0.8199643777
67	0.8176631023
68	0.8149662486
69	0.8120178413
70	0.8089654549
71	0.8065988256
72	0.8038944073
73	0.8010736049
74	0.798025935
75	0.7963300168
76	0.7945467415
77	0.7917627121
78	0.7895506415
79	0.7864258215
80	0.7839271951
81	0.781934667
82	0.7799345133
83	0.7777198502
84	0.7754853993
85	0.7729467243
86	0.77096149
87	0.768624284
88	0.7663986978
89	0.7639979018
90	0.7620038809
91	0.7598476275
92	0.7576385946
93	0.7554944302
94	0.7528490468
95	0.7503696577
96	0.7477423839
97	0.7461675114
98	0.7447454525
99	0.7420301935
100	0.7404796719
101	0.7393038447
102	0.7370988938
103	0.73578475
104	0.7334851701
105	0.732026821
106	0.7298217822
107	0.7278818414
108	0.7259809356
109	0.724636093
110	0.7223970824
111	0.7208036753
112	0.7192373562
113	0.717190245
114	0.7146885425
115	0.713021312
116	0.7106104076
117	0.7093102313
118	0.7075219114
119	0.7057603945
120	0.7041198242
121	0.7030528993
122	0.7012396816
123	0.6995997489
124	0.6982479626
125	0.6964141764
126	0.6945728446
127	0.6924116485
128	0.6909580447
129	0.6897061098
130	0.6885169909
131	0.6869592673
132	0.685470837
133	0.6842372002
134	0.6818020023
135	0.6798781932
136	0.6777351349
