iter	Passed	Remaining
0	87	125016
1	176	125649
2	199	94280
3	284	100836
4	374	106104
5	459	108343
6	547	110734
7	635	112254
8	723	113628
9	809	114327
10	902	115829
11	997	117181
12	1085	117697
13	1169	117658
14	1252	117513
15	1260	110730
16	1344	111144
17	1427	111368
18	1519	112177
19	1605	112541
20	1690	112787
21	1777	113133
22	1866	113511
23	1955	113906
24	2048	114492
25	2135	114661
26	2229	115176
27	2316	115347
28	2406	115615
29	2497	115873
30	2590	116253
31	2688	116760
32	2785	117250
33	2875	117400
34	2960	117321
35	3048	117367
36	3139	117536
37	3235	117832
38	3324	117889
39	3410	117845
40	3498	117846
41	3589	117928
42	3676	117905
43	3765	117924
44	3853	117916
45	3941	117887
46	4034	118023
47	4123	118039
48	4223	118336
49	4320	118550
50	4413	118639
51	4507	118750
52	4604	118931
53	4692	118880
54	4783	118894
55	4882	119095
56	4977	119191
57	5067	119180
58	5082	117417
59	5197	117978
60	5300	118263
61	5401	118476
62	5508	118818
63	5624	119345
64	5750	120062
65	5866	120534
66	5993	121221
67	6103	121532
68	6215	121885
69	6323	122139
70	6445	122645
71	6561	123026
72	6705	123907
73	6828	124381
74	6944	124722
75	7056	124980
76	7165	125166
77	7272	125318
78	7372	125332
79	7472	125351
80	7566	125270
81	7658	125144
82	7744	124945
83	7827	124683
84	7920	124586
85	8004	124350
86	8088	124110
87	8172	123885
88	8253	123620
89	8337	123390
90	8421	123180
91	8508	123007
92	8595	122828
93	8675	122571
94	8759	122362
95	8854	122301
96	8940	122125
97	8966	121142
98	9053	120986
99	9142	120865
100	9225	120664
101	9251	119727
102	9338	119581
103	9384	118935
104	9473	118822
105	9565	118760
106	9655	118667
107	9751	118648
108	9845	118592
109	9939	118556
110	10033	118507
111	10124	118422
112	10216	118351
113	10304	118234
114	10394	118135
115	10488	118091
116	10590	118129
117	10679	118019
118	10766	117885
119	10815	117351
120	10906	117264
121	11002	117242
122	11090	117131
123	11199	117236
124	11292	117167
125	11380	117059
126	11479	117056
127	11572	116995
128	11668	116953
129	11762	116900
130	11853	116816
131	11959	116879
132	12049	116783
133	12137	116668
134	12228	116578
135	12317	116474
136	12416	116457
